vgen,vk,vm450_550,vm350_550,vm250_550,vm150_550,vm50_550,v50_550,v150_550,v250_550,v350_550,v450_550,v550_550,vm450_450,vm350_450,vm250_450,vm150_450,vm50_450,v50_450,v150_450,v250_450,v350_450,v450_450,v550_450,vm450_350,vm350_350,vm250_350,vm150_350,vm50_350,v50_350,v150_350,v250_350,v350_350,v450_350,v550_350,vm450_250,vm350_250,vm250_250,vm150_250,vm50_250,v50_250,v150_250,v250_250,v350_250,v450_250,v550_250,vm450_150,vm350_150,vm250_150,vm150_150,vm50_150,v50_150,v150_150,v250_150,v350_150,v450_150,v550_150,vm450_50,vm350_50,vm250_50,vm150_50,vm50_50,v50_50,v150_50,v250_50,v350_50,v450_50,v550_50,vm450_m50,vm350_m50,vm250_m50,vm150_m50,vm50_m50,v50_m50,v150_m50,v250_m50,v350_m50,v450_m50,v550_m50,vm450_m150,vm350_m150,vm250_m150,vm150_m150,vm50_m150,v50_m150,v150_m150,v250_m150,v350_m150,v450_m150,v550_m150,vm450_m250,vm350_m250,vm250_m250,vm150_m250,vm50_m250,v50_m250,v150_m250,v250_m250,v350_m250,v450_m250,v550_m250,vm450_m350,vm350_m350,vm250_m350,vm150_m350,vm50_m350,v50_m350,v150_m350,v250_m350,v350_m350,v450_m350,v550_m350,vm450_m450,vm350_m450,vm250_m450,vm150_m450,vm50_m450,v50_m450,v150_m450,v250_m450,v350_m450,v450_m450,v550_m450
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-4,6.3e-4,1.5e-4,0,0,0,0,0,0,0,9e-5,0.0499,0.30661,0.05284,1.3e-4,0,0,0,0,0,0,6.9e-4,0.30803,0,0.309,6e-4,0,0,0,0,0,0,1.7e-4,0.05307,0.31308,0.05178,1.8e-4,0,0,0,0,0,0,0,1.6e-4,7.1e-4,1.8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3e-4,0.00105,2.3e-4,0,0,0,0,0,0,0,1.2e-4,0.07881,0.46413,0.07983,2.2e-4,0,0,0,0,0,0,7.8e-4,0.46703,0,0.46471,9e-4,0,0,0,0,0,0,2.1e-4,0.07689,0.46001,0.07606,1.2e-4,0,0,0,0,0,0,0,2.6e-4,9.7e-4,1.3e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-5,2e-5,0,0,0,0,0,0,0,0,1.4e-4,0.00619,0.0198,0.00672,1.2e-4,0,0,0,0,0,1e-5,0.00623,0.44963,1.92841,0.44997,0.00572,1e-5,0,0,0,0,4e-5,0.02014,1.9488,0,1.9371,0.01945,1e-5,0,0,0,0,1e-5,0.00655,0.45408,1.93528,0.44512,0.00596,0,0,0,0,0,0,2.3e-4,0.00617,0.01967,0.00603,2.2e-4,0,0,0,0,0,0,0,1e-5,3e-5,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-5,2e-5,2e-5,0,0,0,0,0,0,0,3.1e-4,0.00903,0.02999,0.00904,2.5e-4,0,0,0,0,0,1e-5,0.00916,0.64792,2.75044,0.6476,0.00828,0,0,0,0,0,3e-5,0.02962,2.73515,0,2.76189,0.0288,4e-5,0,0,0,0,0,0.00952,0.65224,2.73527,0.64891,0.0095,2e-5,0,0,0,0,0,2.6e-4,0.0093,0.02896,0.00978,2.1e-4,0,0,0,0,0,0,0,2e-5,4e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-5,4.4e-4,8.6e-4,3.8e-4,1e-5,0,0,0,0,0,4e-5,0.00392,0.08249,0.22371,0.07978,0.00371,6e-5,0,0,0,0,5.3e-4,0.08162,2.646,9.05359,2.65222,0.0809,4.5e-4,0,0,0,0,0.00093000000000000005,0.2225,9.03894,0,9.02858,0.22375,0.00108,0,0,0,0,5.3e-4,0.08243,2.67406,9.07107,2.65433,0.08242,5.2e-4,0,0,0,0,1e-5,0.00425,0.08268,0.21963,0.07946,0.00354,7e-5,0,0,0,0,0,4e-5,4.6e-4,0.00138,5.5e-4,3e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-4,0.00112,1.6e-4,0,0,0,0,0,0,0,2.5e-4,0.07733,0.45566,0.07779,1.9e-4,0,0,0,0,0,0,0.00103,0.46287,0,0.46411,0.00113,0,0,0,0,0,0,1.8e-4,0.07828,0.46631,0.07943,2.9e-4,0,0,0,0,0,0,0,1.9e-4,7.1e-4,2.4e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-4,0.00158,2.9e-4,0,0,0,0,0,0,0,3.2e-4,0.1173,0.69226,0.11579,3.4e-4,0,0,0,0,0,0,0.00135,0.6988,0,0.69027,0.00129,0,0,0,0,0,0,2.9e-4,0.1156,0.69339,0.11443,2.9e-4,0,0,0,0,0,0,0,3.1e-4,0.00147,2.8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-5,9e-5,1e-5,0,0,0,0,0,0,0,2.4e-4,0.01333,0.04424,0.01263,2.2e-4,0,0,0,0,0,0,0.01343,0.98671,4.12543,0.9736,0.0136,2e-5,0,0,0,0,7e-5,0.04309,4.12094,0,4.11048,0.04417,8e-5,0,0,0,0,5e-5,0.01328,0.96858,4.14124,0.97455,0.01316,3e-5,0,0,0,0,1e-5,3.2e-4,0.0137,0.04486,0.01386,2.9e-4,0,0,0,0,0,0,0,2e-5,4e-5,5e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-5,1.1e-4,2e-5,0,0,0,0,0,0,0,5e-4,0.0206,0.06538,0.01866,5e-4,0,0,0,0,0,3e-5,0.02019,1.4246,5.92989,1.39849,0.02005,4e-5,0,0,0,0,8e-5,0.06681,5.97019,0,5.92066,0.06558,8e-5,0,0,0,0,3e-5,0.02051,1.42544,5.9715,1.42325,0.02049,1e-5,0,0,0,0,0,5.1e-4,0.02034,0.06758,0.02124,5e-4,0,0,0,0,0,0,1e-5,2e-5,5e-5,3e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-5,0,0,0,0,0,0,0,1.4e-4,0.0014,0.00377,0.00138,4e-5,0,0,0,0,0,8e-5,0.01303,0.27153,0.72445,0.26609,0.01356,7e-5,0,0,0,0,0.00132,0.26686,8.44569,28.2076,8.4438,0.26742,0.00163,0,0,0,1e-5,0.0037200000000000002,0.72033,28.15786,0,28.06619,0.72776,0.00343,1e-5,0,0,0,0.00148,0.26934,8.46051,28.05531,8.37395,0.26256,0.00132,0,0,0,0,7e-5,0.01304,0.27113,0.72381,0.26339,0.01224,7e-5,0,0,0,0,0,1.1e-4,0.00146,0.00336,0.00112,1.2e-4,0,0,0,0,0,0,0,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9e-4,0.00112,3.2e-4,0,0,0,0,0,0,0,2.9e-4,0.1053,0.62103,0.10449,2.7e-4,0,0,0,0,0,0,0.00144,0.62074,0,0.61582,0.00129,0,0,0,0,0,0,3.7e-4,0.10631,0.61475,0.10378,2.3e-4,0,0,0,0,0,0,0,2.5e-4,0.00135,2e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
